"No.","Time","Source","Destination","Protocol","Length","Info"
"162","8.429325","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=3537 Ack=5985 Win=1021 Len=0"
"163","8.486795","192.168.1.114","52.98.163.18","TLSv1.2","1311","Application Data"
"164","8.552264","52.98.163.18","192.168.1.114","TLSv1.2","1102","Application Data"
"165","8.552328","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=4794 Ack=7033 Win=1024 Len=0"
"166","8.552406","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"167","8.552429","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=4794 Ack=7064 Win=1023 Len=0"
"168","8.575114","192.168.1.114","52.98.163.18","TLSv1.2","338","Application Data"
"169","8.635946","52.98.163.18","192.168.1.114","TCP","60","443  >  50105 [ACK] Seq=7064 Ack=5078 Win=16386 Len=0"
"170","8.641422","52.98.163.18","192.168.1.114","TLSv1.2","1028","Application Data"
"171","8.641472","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=5078 Ack=8038 Win=1020 Len=0"
"172","8.641704","52.98.163.18","192.168.1.114","TLSv1.2","85","Application Data"
"173","8.641722","192.168.1.114","52.98.163.18","TCP","54","50105  >  443 [ACK] Seq=5078 Ack=8069 Win=1019 Len=0"
"174","8.680879","192.168.1.67","224.0.0.7","UDP","240","8001  >  8001 Len=198"
"175","8.738361","192.168.1.114","151.101.65.69","TCP","55","49478  >  443 [ACK] Seq=1 Ack=1 Win=1023 Len=1 [TCP segment of a reassembled PDU]"
"176","8.751737","151.101.65.69","192.168.1.114","TCP","66","443  >  49478 [ACK] Seq=1 Ack=2 Win=305 Len=0 SLE=1 SRE=2"
"177","8.934581","192.168.1.114","20.50.73.10","TCP","54","50118  >  443 [FIN, ACK] Seq=1 Ack=1 Win=1022 Len=0"
"178","8.934828","192.168.1.114","20.50.73.10","TCP","66","50258  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
